"date","geo_level","category_id","subcategory_id","value","value_proportion","type","care_flag"
1997-01-01,"national","gender_parent","Fathers",247596878.297737,0.00730563267538431,"Paid",NA
1997-01-01,"national","gender_parent","Mothers",469916956.582962,0.0138654440893289,"Paid",NA
1997-01-01,"national","gender_parent","Non-Fathers",321555537.989349,0.00948786859283777,"Paid",NA
1997-01-01,"national","gender_parent","Non-Mothers",476323943.674516,0.014054489664413,"Paid",NA
1997-01-01,"national","gender_parent","Other",165792642.406649,0.00489190394495938,"Paid",NA
1997-01-01,"national","overall","overall",1681185958.95121,0.0496053389669233,"Paid",NA
1997-01-01,"state01","gender_parent","Fathers",2296948.21428571,0.00541943179194755,"Paid",NA
1997-01-01,"state01","gender_parent","Mothers",8524321.87634108,0.0201123302189043,"Paid",NA
1997-01-01,"state01","gender_parent","Non-Fathers",3706938.51090693,0.0087461703715645,"Paid",NA
1997-01-01,"state01","gender_parent","Non-Mothers",6947575.56168436,0.0163921466064305,"Paid",NA
1997-01-01,"state01","gender_parent","Other",2441019.32783363,0.00575935394091322,"Paid",NA
1997-01-01,"state01","overall","overall",23916803.4910517,0.05642943292976,"Paid",NA
1997-01-01,"state02","gender_parent","Fathers",500696.259572344,0.00444971232119758,"Paid",NA
1997-01-01,"state02","gender_parent","Non-Fathers",1031999.83245081,0.00917143334334553,"Paid",NA
1997-01-01,"state02","gender_parent","Non-Mothers",1545189.76315557,0.0137321775352873,"Paid",NA
1997-01-01,"state02","gender_parent","Other",252219.877970188,0.00224149047890527,"Paid",NA
1997-01-01,"state04","gender_parent","Fathers",3957651.55013704,0.00801215579562049,"Paid",NA
1997-01-01,"state04","gender_parent","Mothers",7076233.3686573,0.0143256381916411,"Paid",NA
1997-01-01,"state04","gender_parent","Non-Fathers",4360222.85084635,0.0088271502283711,"Paid",NA
1997-01-01,"state04","gender_parent","Non-Mothers",7255796.73479591,0.0146891592461004,"Paid",NA
1997-01-01,"state04","gender_parent","Other",1905968.2830509,0.00385857992596298,"Paid",NA
1997-01-01,"state04","overall","overall",24555872.7874875,0.0497126833876961,"Paid",NA
1997-01-01,"state05","gender_parent","Fathers",2047318.45382914,0.00857156072699491,"Paid",NA
1997-01-01,"state05","gender_parent","Mothers",4225365.51963678,0.0176904462896712,"Paid",NA
1997-01-01,"state05","gender_parent","Non-Fathers",1513230.66365136,0.00633548166538478,"Paid",NA
1997-01-01,"state05","gender_parent","Non-Mothers",3366849.8200755,0.014096076571514,"Paid",NA
1997-01-01,"state05","gender_parent","Other",662639.479027895,0.00277428971734648,"Paid",NA
1997-01-01,"state05","overall","overall",11815403.9362207,0.0494678549709113,"Paid",NA
1997-01-01,"state06","gender_parent","Fathers",27176239.5039128,0.00688256017162063,"Paid",NA
1997-01-01,"state06","gender_parent","Mothers",53075172.6351549,0.0134416341609004,"Paid",NA
1997-01-01,"state06","gender_parent","Non-Fathers",41334259.3402117,0.0104681711764212,"Paid",NA
1997-01-01,"state06","gender_parent","Non-Mothers",54269907.6553448,0.0137442086088631,"Paid",NA
1997-01-01,"state06","gender_parent","Other",18255260.1110284,0.00462326386785959,"Paid",NA
1997-01-01,"state06","overall","overall",194110839.245653,0.049159837985665,"Paid",NA
1997-01-01,"state08","gender_parent","Fathers",2351555.03407793,0.00453068103686992,"Paid",NA
1997-01-01,"state08","gender_parent","Mothers",5316632.11209519,0.0102434193294262,"Paid",NA
1997-01-01,"state08","gender_parent","Non-Fathers",4449013.80272075,0.00857180128750984,"Paid",NA
1997-01-01,"state08","gender_parent","Non-Mothers",6070750.3732486,0.0116963597266748,"Paid",NA
1997-01-01,"state08","gender_parent","Other",1828933.28240188,0.00352375905313551,"Paid",NA
1997-01-01,"state08","overall","overall",20016884.6045444,0.0385660204336162,"Paid",NA
1997-01-01,"state09","gender_parent","Fathers",4031216.93609195,0.00714389703539026,"Paid",NA
1997-01-01,"state09","gender_parent","Mothers",7777165.7545659,0.0137822578785958,"Paid",NA
1997-01-01,"state09","gender_parent","Non-Fathers",5731772.42984694,0.0101575263049007,"Paid",NA
1997-01-01,"state09","gender_parent","Non-Mothers",7380635.64950453,0.0130795494193638,"Paid",NA
1997-01-01,"state09","gender_parent","Other",2207653.95228022,0.00391228077647234,"Paid",NA
1997-01-01,"state09","overall","overall",27128444.7222895,0.0480755114147229,"Paid",NA
1997-01-01,"state10","gender_parent","Fathers",839538.399188883,0.0059771688552859,"Paid",NA
1997-01-01,"state10","gender_parent","Mothers",1101437.87499986,0.00784178563939667,"Paid",NA
1997-01-01,"state10","gender_parent","Non-Fathers",1120785.64768997,0.00797953384061561,"Paid",NA
1997-01-01,"state10","gender_parent","Non-Mothers",2375205.39248339,0.0169104876091138,"Paid",NA
1997-01-01,"state10","gender_parent","Other",527499.00206044,0.00375557640884117,"Paid",NA
1997-01-01,"state10","overall","overall",5964466.31642255,0.0424645523532532,"Paid",NA
1997-01-01,"state11","gender_parent","Fathers",623223.35944584,0.00262871670947466,"Paid",NA
1997-01-01,"state11","gender_parent","Mothers",795477.436241791,0.00335527350983477,"Paid",NA
1997-01-01,"state11","gender_parent","Non-Fathers",1272362.56254997,0.00536674480824842,"Paid",NA
1997-01-01,"state11","gender_parent","Non-Mothers",1375990.46197606,0.00580384073326533,"Paid",NA
1997-01-01,"state11","gender_parent","Other",167455.646454745,0.000706317324695406,"Paid",NA
1997-01-01,"state11","overall","overall",4234509.4666684,0.0178608930855186,"Paid",NA
1997-01-01,"state12","gender_parent","Fathers",13154656.5279935,0.0079495699632702,"Paid",NA
1997-01-01,"state12","gender_parent","Mothers",23954801.3678309,0.0144762707429549,"Paid",NA
1997-01-01,"state12","gender_parent","Non-Fathers",18524376.7897071,0.0111945780570082,"Paid",NA
1997-01-01,"state12","gender_parent","Non-Mothers",23696569.2105272,0.0143202169078066,"Paid",NA
1997-01-01,"state12","gender_parent","Other",8114260.78577839,0.00490357795959909,"Paid",NA
1997-01-01,"state12","overall","overall",87444664.6818371,0.052844213630639,"Paid",NA
1997-01-01,"state13","gender_parent","Fathers",6642263.31730769,0.00690357989309108,"Paid",NA
1997-01-01,"state13","gender_parent","Mothers",14478196.5388667,0.0150477904502067,"Paid",NA
1997-01-01,"state13","gender_parent","Non-Fathers",8102557.81469529,0.00842132456061847,"Paid",NA
1997-01-01,"state13","gender_parent","Non-Mothers",15294542.964114,0.0158962531650841,"Paid",NA
1997-01-01,"state13","gender_parent","Other",2468422.15453297,0.00256553357487212,"Paid",NA
1997-01-01,"state13","overall","overall",46985982.7895166,0.0488344816438726,"Paid",NA
1997-01-01,"state15","gender_parent","Fathers",1117141.94969759,0.00672641811870664,"Paid",NA
1997-01-01,"state15","gender_parent","Mothers",1584341.60619315,0.0095394717645356,"Paid",NA
1997-01-01,"state15","gender_parent","Non-Fathers",2217172.26517677,0.0133498054574139,"Paid",NA
1997-01-01,"state15","gender_parent","Non-Mothers",2041610.79188013,0.012292733099466,"Paid",NA
1997-01-01,"state15","gender_parent","Other",1237787.1763839,0.00745283452347773,"Paid",NA
1997-01-01,"state15","overall","overall",8198053.78933154,0.0493612629635998,"Paid",NA
1997-01-01,"state16","gender_parent","Fathers",1171870.03779544,0.0110194058628807,"Paid",NA
1997-01-01,"state16","gender_parent","Mothers",1955329.82165868,0.0183864867312294,"Paid",NA
1997-01-01,"state16","gender_parent","Non-Fathers",1487775.56832217,0.0139899496458341,"Paid",NA
1997-01-01,"state16","gender_parent","Non-Mothers",1754516.20365108,0.0164981828338261,"Paid",NA
1997-01-01,"state16","gender_parent","Other",409529.471565934,0.00385091461889891,"Paid",NA
1997-01-01,"state16","overall","overall",6779021.10299331,0.0637449396926693,"Paid",NA
1997-01-01,"state17","gender_parent","Fathers",8539389.2307276,0.00503269372794671,"Paid",NA
1997-01-01,"state17","gender_parent","Mothers",19630652.0967902,0.0115693355828684,"Paid",NA
1997-01-01,"state17","gender_parent","Non-Fathers",13899796.0542957,0.00819185243020383,"Paid",NA
